chromosome	start	end	strand	ddb_g	genename	description
chr2	7159124	7159852	+	DDB_G0276739	DDB_G0276739	NA
chr2	7160082	7160328	-	DDB_G0276737	DDB_G0276737	NA
chr2	7161840	7162080	+	DDB_G0349390	DDB_G0349390	NA
chr2	7162758	7163633	+	DDB_G0276735	DDB_G0276735	NA
chr2	7163692	7165720	-	DDB_G0276755	DDB_G0276755	NA
chr2	7166909	7171855	+	DDB_G0276733	DDB_G0276733	NA
chr2	7172694	7173337	+	DDB_G0276731	DDB_G0276731	NA
chr2	7173981	7174667	+	DDB_G0276729	DDB_G0276729	NA
chr2	7175547	7175678	+	DDB_G0276727	DDB_G0276727	NA
chr2	7175956	7176266	+	DDB_G0276725	DDB_G0276725	contains one RRM (RNA recognition motif) domain
chr2	7176768	7177255	-	DDB_G0276757	sigH	expressed in prespore cells%3B contains two predicted transmembrane domains
chr2	7179136	7182209	+	DDB_G0276919	pldG	similar to human PLD%2C a GPI (glycosylphosphatidylinositol)-specific phospholipase D
chr2	7182465	7183317	-	DDB_G0276921	DDB_G0276921	member of a Dictyostelium-specific gene family%3B contains a signal peptide
chr2	7183824	7184702	-	DDB_G0276923	DDB_G0276923_ps	putative pseudogene%3B highly similar to %3Ca href%3D%22%2Fdb%2Fcgi-bin%2Fgene_page.pl?primary_id%3DDDB_G0276925%22%3E%3Ci%3EDDB_G0276925%3C%2Fi%3E%3C%2Fa%3E and %3Ca href%3D%22%2Fdb%2Fcgi-bin%2Fgene_page.pl?primary_id%3DDDB_G0276921%22%3E%3Ci%3EDDB_G0276921%3C%2Fi%3E%3C%2Fa%3E
chr2	7185219	7186104	-	DDB_G0276925	DDB_G0276925	member of a Dictyostelium-specific gene family%3B contains a signal peptide
chr2	7187981	7188054	+	DDB_G0294883	tRNA-Phe-GAA-6	transfers a phenylalanine residue to a growing polypeptide chain during protein synthesis%0A
chr2	7189408	7191733	+	DDB_G0276883	canA	catalytic subunit of the Ca%3Csup%3E2%2B%3C%2Fsup%3E%2Fcalmodulin-dependent serine%2Fthreonine protein phosphatase
chr2	7191923	7192661	-	DDB_G0276927	DDB_G0276927	NA
chr2	7194376	7196288	+	DDB_G0276761	cotB	expressed in prespore cells
chr2	7196605	7198419	-	DDB_G0276929	DDB_G0276929	NA
chr2	7198772	7199606	-	DDB_G0276765	ubqC	highly conserved gene consisting a a fusion product between ubiquitin and the S27a ribosomal protein
chr2	7200459	7201989	+	DDB_G0277007	DDB_G0277007	homolog of human SLC35C1 (GDP-fucose transporter 1)%3B defects in human SLC35C1 are the cause of leukocyte adhesion deficiency type II%3B contains 10 putative transmembrane domains
chr2	7202546	7203503	+	DDB_G0277009	DDB_G0277009	NA
chr2	7203757	7204951	-	DDB_G0277011	DDB_G0277011	%3Cb%3ECommunity annotation:%3C%2Fb%3E DDB_G0277011 is highly similar in an N-terminal domain to the %3Cb%3EShaker%3C%2Fb%3E voltage-gated potassium channel of vertebrates%2C and is the best hit in the Dicty genome when searched with the sequence of this channel. The channel is strongly expressed in several classes of neurons in adult animals%2C and appears to regulate neuronal excitability. The channel is also expressed during embryonic development where it shows a correlation with proliferation [see Hallows and Tempel%2C Journal of Neuroscience 15%2C 5682-5691 (1998)]. Older work shows clear correlation between expression and proliferation in cultured Schwann cells%2C and blockade of potassium conduction inhibits proliferation (reviewed in Hallows and Tempel).%3Cbr%3E DDB_GO277011 is fourfold overexpressed (p%3C3E-70)in a Dicty strain in which the retinoblastoma-like gene rblA has been disrupted (Doquang et al%2C in preparation). Most genes whose products have roles in S-phase or mitosis are overexpressed in this strain%2C and most of the overexpressed genes are identifiable with cell cycle progression. This suggests that DDB_GO277011 could be a Dictyostelium proliferation regulator%2C and that the completely mysterious connection between potassium conductance and proliferation could be studied in Dictyostelium. %3Ci%3EHarry MacWilliams%2C September 2009%3C%2Fi%3E
chr2	7205190	7206560	+	DDB_G0277013	ptcG	NA
chr2	7206700	7209693	-	DDB_G0276931	DDB_G0276931	NA
chr2	7210164	7211743	+	DDB_G0276763	captC	catalyzes the reaction CDP-choline %2B 1%2C2-diacylglycerol %3D CMP %2B a phosphatidylcholine%3B most similar to plant genes%3B REMI mutant forms aberrant fruiting bodies%2C see %3Ca href%3D%22http:%2F%2Fwiki.dictybase.org%2Fdictywiki%2Findex.php%2FCaptC%22%3Ecommunity annotation%3C%2Fa%3E
chr2	7212385	7213987	-	DDB_G0276961	DDB_G0276961	C-terminus similar to Arabidopsis thaliana plant adhesion molecule 1%2C Drosophila melanogaster extracellular matrix adhesion protein Pollux and human rab6 GTPase activating protein GAPCENA
chr2	7215630	7216308	-	DDB_G0276967	racF2	enriched in gametes
chr2	7216750	7218586	-	DDB_G0276965	gltA	catalyzes the condensation of acetyl-CoA and oxaloacetate to citrate
chr2	7219497	7220402	+	DDB_G0276933	mcfX	belongs to the substrate carrier protein family involved in transport of molecules across the mitochondrial membrane%3B has similarity to the calcium-dependent mitochondrial aspartate and glutamate carriers aralar1 and 2 (slc25A12 and 13)%2C but does not contain a EF-hand calcium-binding domain such as %3Ca href%3D%22%2Fdb%2Fcgi-bin%2Fgene_page.pl?primary_id%3DDDB_G0283329%22%3E%3Ci%3EmcfO%3C%2Fi%3E%3C%2Fa%3E%3B contains one transmembrane domain%3Cbr%2F%3E%3Cbr%2F%3E %3Cb%3ECommunity annotation:%3C%2Fb%3E Overview of the %3Ca href%3D%22http:%2F%2Fwiki.dictybase.org%2Fdictywiki%2Findex.php%2FMitochondrial_Carrier_Family_%2528MCF%2529%22%3EMitochondrial Carrier Family (MCF)%3C%2Fa%3E%2C %3Ci%3EGerard Klein and Michel Satre%2C April 2007%3C%2Fi%3E
chr2	7220481	7222693	-	DDB_G0276935	DDB_G0276935	NA
chr2	7223776	7224492	+	DDB_G0276937	expl5	similar to plant expansins%2C which modify the cell wall to allow expansion during cell growth%3B contains a predicted signal peptide
chr2	7225140	7225967	-	DDB_G0277015	msp	contains two selenocysteine residues at positions 20 and 88%3B conserved in  the green algae such as Chlamydomonas%2C Ostreococcus%2C and Volvox%3B contains 4 transmembrane domains
chr2	7226683	7230316	-	DDB_G0277017	gxcN	NA
chr2	7234040	7235588	-	DDB_G0276917	psmC2	ATPase subunit and regulatory subcomplex of the 26S proteasome
chr2	7236466	7236615	+	DDB_G0276915	DDB_G0276915	NA
chr2	7237204	7237285	-	DDB_G0294921	tRNA-Ser-AGA-6	transfers a serine residue to a growing polypeptide chain during protein synthesis%0A
chr2	7238641	7241913	+	DDB_G0277019	wdr36	putative U3 snoRNP protein%3B ortholog of H. sapiens WDR36 and S. cerevisiae UTP21%3B WDR36 has been implicated in open angle glaucoma 1 type G (GLC1G)
chr2	7242199	7244136	-	DDB_G0276767	plbA	hydrolyses phosphatidylcholine to glycerophosphocholine and two fatty acids
chr2	7245854	7247870	+	DDB_G0276963	gefH	putative Ras guanine nucleotide exchange factor%3B promotes the exchange of GDP for GTP on Ras small GTPases thus converting them into the active form
chr2	7248197	7249372	-	DDB_G0276913	DDB_G0276913	NA
chr2	7249627	7250740	-	DDB_G0277021	DDB_G0277021_ps	putative pseudogene%3B similar to a family of D. discoideum genes%2C including %3Ca href%3D%22%2Fgene%2FDDB_G0282839%22%3EDDB_G0282839%3C%2Fa%3E and %3Ca href%3D%22%2Fgene%2FDDB_G0292474%22%3EDDB_G0292474%3C%2Fa%3E 
chr2	7251359	7252450	-	DDB_G0276911	DDB_G0276911	NA
chr2	7253376	7254244	+	DDB_G0277005	DDB_G0277005_ps	putative pseudogene%3B similar to a larger gene family%2C including %3Ca href%3D%22%2Fgene%2FDDB_G0289819%22%3EDDB_G0289819%3C%2Fa%3E
chr2	7254558	7255694	-	DDB_G0276907	DDB_G0276907	NA
chr2	7256369	7257430	-	DDB_G0276905	DDB_G0276905	NA
chr2	7258388	7259413	-	DDB_G0277023	DDB_G0277023	NA
chr2	7259970	7261279	+	DDB_G0277003	DDB_G0277003	NA
chr2	7261455	7261736	-	DDB_G0277001	cpiC	similar to animal and plant cystatin A3%3B member of the stefin cystatin family of cysteine protease inhibitors
chr2	7262534	7263496	+	DDB_G0277025	DDB_G0277025	NA
chr2	7263655	7263918	-	DDB_G0276901	DDB_G0276901	NA
chr2	7264174	7265152	-	DDB_G0276899	DDB_G0276899	conserved hypothetical protein%3B similar to failed axon connections family proteins
chr2	7265714	7266282	-	DDB_G0276759	cbpA	contains four EF hands%3B regulates reorganization of the actin cytoskeleton during cell aggregation
chr2	7267534	7269288	+	DDB_G0276897	DDB_G0276897	conserved hyphothetical protein%3B similar to AprA%2C an autocrine repressor of proliferation
chr2	7269337	7270306	-	DDB_G0276999	DDB_G0276999	contains four transmembrane domains%3B no homolog sequences in other organisms
chr2	7271007	7272048	-	DDB_G0277027	tmem56A	homolog of mammalian TMEM56%3B there are three genes in %3Ci%3EDictyostelium%3C%2Fi%3E: %3Ci%3Etmem56A%3C%2Fi%3E%2C %3Ci%3Etmem56B%3C%2Fi%3E%2C and %3Ci%3Etmem56C%3C%2Fi%3E%3B contains 7 putative transmembrane domains
chr2	7272592	7273552	-	DDB_G0277029	tmem56B	homolog of mammalian TMEM56%3B there are three genes in %3Ci%3EDictyostelium%3C%2Fi%3E: %3Ci%3Etmem56A%3C%2Fi%3E%2C %3Ci%3Etmem56B%3C%2Fi%3E%2C and %3Ci%3Etmem56C%3C%2Fi%3E%3B contains 7 putative transmembrane domains
chr2	7274148	7276949	+	DDB_G0276775	DDB_G0276775_ps	putative pseudogene%3B similar to D. discoideum genes %3Ca href%3D%22%2Fgene%2FDDB_G0271468%22%3EDDB_G0271468%3C%2Fa%3E and %3Ca href%3D%22%2Fgene%2FDDB_G0271438%22%3EDDB_G0271438%3C%2Fa%3E
chr2	7277171	7277431	+	DDB_G0295521	rnu2e	component of the spliceosome involved in pre-mRNA splicing
chr2	7277816	7280677	+	DDB_G0276773	DDB_G0276773_ps	putative pseudogene%3B similar to D. discoideum genes %3Ca href%3D%22%2Fgene%2FDDB_G0271468%22%3EDDB_G0271468%3C%2Fa%3E and %3Ca href%3D%22%2Fgene%2FDDB_G0271438%22%3EDDB_G0271438%3C%2Fa%3E
chr2	7281154	7281415	+	DDB_G0295523	rnu2f	component of the spliceosome involved in pre-mRNA splicing
chr2	7281651	7283492	-	DDB_G0277031	DDB_G0277031	conserved hyphothetical protein%3B similar to AprA%2C an autocrine repressor of proliferation
chr2	7284177	7284949	-	DDB_G0276769	DDB_G0276769	NA
chr2	7287390	7288028	+	DDB_G0276777	DDB_G0276777	NA
chr2	7288118	7289937	-	DDB_G0276779	DDB_G0276779	similar to AAAS%2C also known as achalasia%2C adrenocortical insufficiency%2C alacrimia (Allgrove%2C triple-A)
chr2	7290266	7291176	-	DDB_G0276781	DDB_G0276781	NA
chr2	7291532	7292461	-	DDB_G0276783	DDB_G0276783	homolog of human EXOSC3 (exosome component 3) and S. cerevisiae RRP40 (Ribosomal RNA-processing protein 40)%3B S. cerevisiae RRP40 is a component of the exosome 3%27-%3E5%27 exoribonuclease complex%2C but lacks exonuclease activity
chr2	7293362	7295018	+	DDB_G0276997	DDB_G0276997	contains three transmembrane domains
chr2	7295274	7299183	-	DDB_G0277033	swi3	similar to H. sapiens SWI%2FSNF subunit SMARCC1 and the yeast  subunit SWI3 of the chromatin remodeling complex
chr2	7300081	7300938	-	DDB_G0277035	DDB_G0277035	NA
chr2	7301907	7302348	-	DDB_G0276995	nat_ps	putative pseudogene%3B fragment%3B similar to the nat family of acetyltransferases%2C including %3Ca href%3D%22%2Fgene%2FDDB_G0276993%22%3E%3Ci%3Enat5%3C%2Fi%3E%3C%2Fa%3E 
chr2	7302630	7303499	-	DDB_G0276993	nat5	NA
chr2	7304770	7306212	-	DDB_G0276893	ctxB	member of the alpha-actinin%2Fspectrin superfamily%2C dimerizes with cortexillin I%3B involved in cytokinesis and development and associates with the actin cytoskeleton
chr2	7306921	7308250	-	DDB_G0276785	DDB_G0276785	NA
chr2	7309123	7310965	+	DDB_G0277037	pgs1	ortholog of the mammalian and yeast phosphatidylglycerophosphate synthase 1 that catalyzes the synthesis of phosphatidylglycerolphosphate from CDP-diacylglycerol and sn-glycerol 3-phosphate in the first committed and rate-limiting step of cardiolipin biosynthesis
chr2	7311292	7313178	+	DDB_G0276787	DDB_G0276787	NA
chr2	7313618	7315046	+	DDB_G0277039	DDB_G0277039	very conserved in dictyostelids and similar to bacterial 33 kDa chaperonin proteins
chr2	7315144	7315929	-	DDB_G0276895	DDB_G0276895	NA
chr2	7316822	7318082	+	DDB_G0276795	ctbsB	similar to H. sapiens di-N-acetylchitobiase (CBTS)%2C a hydrolase involved in the degradation of asparagine-linked glycoproteins%3B contains a putative N-terminal signal sequence
chr2	7318662	7320064	+	DDB_G0276793	DDB_G0276793	NA
chr2	7321470	7322125	+	DDB_G0277041	rheb	NA
chr2	7322606	7324991	-	DDB_G0277043	DDB_G0277043	structural similarity to Zn-dependent peptidases%3B contains a a predicted signal anchor sequence%2C and 4 putative transmembrane domains
chr2	7326201	7329026	+	DDB_G0276791	DDB_G0276791	similar to many uncharacterized leucine-rich repeat-containing proteins
chr2	7329318	7329835	-	DDB_G0276789	DDB_G0276789	NA
chr2	7333559	7337443	+	DDB_G0276887	fbxA	F-box and WD40 domains containing protein%3B part of a complex that targets proteins for ubiquination%3B has the same domain composition as %3Ci%3E%3Ca href%3D%22%2Fdb%2Fcgi-bin%2Fgene_page.pl?primary_id%3DDDB_G0285445%22%3E%3Ci%3EDDB_G0285445%3C%2Fi%3E%3C%2Fa%3E%3C%2Fi%3E and %3Ci%3E%3Ca href%3D%22%2Fdb%2Fcgi-bin%2Fgene_page.pl?primary_id%3DDDB_G0280895%22%3E%3Ci%3EDDB_G0280895%3C%2Fi%3E%3C%2Fa%3E%3C%2Fi%3E
chr2	7337818	7342248	-	DDB_G0276797	lysA	contains lysin motif%2FLysM domain%3B may be involved in bacterial cell wall degradation
chr2	7343113	7345014	-	DDB_G0277045	DDB_G0277045	NA
chr2	7346120	7348205	+	DDB_G0276799	tfdp2	similar to Homo sapiens transcription factor Dp-2 (E2F dimerization partner 2)%2C which binds to E2F to activate the expression of cell cycle-regulated genes (SwissProt Q14188)
chr2	7348550	7352301	+	DDB_G0277047	DDB_G0277047	NA
chr2	7352564	7355155	-	DDB_G0276801	DDB_G0276801	NA
chr2	7355862	7357238	+	DDB_G0277049	DDB_G0277049	ortholog of S. cerevisiae TAM41%2C a mitochondrial protein involved in protein import into the mitochondrial matrix
chr2	7358123	7360021	+	DDB_G0277051	DDB_G0277051	catalyzes the hydrolysis of the terminal 1%2C2-linked alpha-D-mannose residues in the oligo-mannose oligosaccharide Man9(GlcNAc)2%3B some members of this family are responsible for protein N-linked glycosylation%2C while other participate in the degradation of misfolded glycoproteins in the endoplasmic reticulum
chr2	7360384	7362414	-	DDB_G0276803	prp19	ortholog of the Prp19 protein%3B in mammals%2C a nuclear matrix protein protein that plays a role in DNA double-strand break repair%3B in S. cerevisiae and in S. pombe%2C a RNA splicing factor and a ubiquitin-protein ligase%3B contains 6 WD-40 repeats and an N-terminal U-box motif
chr2	7363809	7366166	+	DDB_G0277053	DDB_G0277053	contains a predicted signal anchor sequence and a putative C-terminal transmembrane domain
chr2	7366504	7370032	+	DDB_G0276805	DDB_G0276805	NA
chr2	7370887	7372679	+	DDB_G0276885	casK	CK2 family protein kinase%3B a ubiquitious serine%2Fthreonine protein kinase in eukaryotic cells that phosphorylates many protein substrates in addition to casein
chr2	7373453	7374640	+	DDB_G0277055	DDB_G0277055	NA
chr2	7375327	7376634	+	DDB_G0276807	DDB_G0276807	NA
chr2	7376660	7378519	-	DDB_G0276991	DDB_G0276991	NA
chr2	7379194	7382025	-	DDB_G0276989	DDB_G0276989	NA
chr2	7382245	7382652	+	DDB_G0276987	DDB_G0276987	NA
chr2	7382833	7385702	+	DDB_G0277057	DDB_G0277057	NA
chr2	7385987	7386505	+	DDB_G0276809	DDB_G0276809	NA
chr2	7386858	7389738	+	DDB_G0276811	DDB_G0276811	NA
chr2	7389875	7390459	-	DDB_G0276813	DDB_G0276813	weak similarity to NAP family proteins which are involved in nucleosome assembly%3B the SWIM domain is found in variety of prokaryotic and eukaryotic proteins%3B it is predicted to have DNA-binding and protein-protein interaction functions in different contexts
chr2	7390722	7392132	-	DDB_G0276815	DDB_G0276815	contains 7 WD repeats%3B belongs to the WD repeat WDSOF1 family%3B homolog of human WDSOF1%2C S. cerevisiae SOF1%3B S. cerevisiae SOF1 is required for ribosomal RNA processing
chr2	7392401	7393264	-	DDB_G0276817	DDB_G0276817	NA
chr2	7395512	7395922	-	DDB_G0276819	DDB_G0276819	NA
chr2	7397249	7399415	-	DDB_G0276821	DDB_G0276821	similar to antiquitin%2C aldehyde dehydrogenase family 7%3B catalyzes the reaction aldehyde %2B NAD%2B %2B H%3Csub%3E2%3C%2Fsub%3EO %3D an acid %2B NADH %2B H%2B
chr2	7400698	7402029	-	DDB_G0277059	DDB_G0277059	NA
chr2	7402781	7403413	+	DDB_G0276823	DDB_G0276823	NA
chr2	7403620	7405092	+	DDB_G0348940	DDB_G0348940	NA
chr2	7405279	7406362	+	DDB_G0348941	DDB_G0348941_ps	putative pseudogene%3B fragment%3B similar to D. discoideum genes %3Ca href%3D%22%2Fgene%2FDDB_G0289399%22%3EDDB_G0289399%3C%2Fa%3E and %3Ca href%3D%22%2Fgene%2FDDB_G0287667%22%3EDDB_G0287667%3C%2Fa%3E
chr2	7407171	7407806	-	DDB_G0277061	dph3	C-terminal half very similar to the conserved DPH3%3B the predicted %3Ci%3EDictyostelium%3C%2Fi%3E protein contains an additional%2C repetitive N-terminal part that is not present in other species
chr2	7408795	7409001	+	DDB_G0276825	DDB_G0276825	NA
chr2	7409167	7410531	+	DDB_G0277063	DDB_G0277063	NA
chr2	7411298	7412542	-	DDB_G0276827	DDB_G0276827	NA
chr2	7412574	7416650	+	DDB_G0276829	ifkB	putative eukaryotic translation initiation factor 2 alpha (eIF2alpha) kinase%3B putative protein serine%2Fthreonine kinase%3B related to the GCN2 family of protein kinases%3B contains a kinase domain and a HisRS domain
chr2	7417052	7417729	-	DDB_G0276831	DDB_G0276831	NA
chr2	7418011	7419700	-	DDB_G0276939	pspB	prespore gene%2C expressed in prespore cells
chr2	7423496	7426656	+	DDB_G0276833	gacS	NA
chr2	7427326	7429758	+	DDB_G0277065	DDB_G0277065	contains one La domain and two DM15 repeats
chr2	7430263	7430358	+	DDB_G0294885	tRNA-Ala-UGC-2	transfers an alanine residue to a growing polypeptide chain during protein synthesis%0A
chr2	7430633	7431157	+	DDB_G0277067	DDB_G0277067_RTE	ORF2 protein encoding endonuclease and reverse transcriptase of tRNA-specific non-long terminal repeat retrotransposon TRE3-A%3B refer to GenBank AF134169 for full-length consensus element
chr2	7431540	7433492	+	DDB_G0276983	DDB_G0276983_RTE	ORF2 protein encoding endonuclease and reverse transcriptase of tRNA-specific non-long terminal repeat retrotransposon TRE3-A%3B refer to GenBank AF134169 for full-length consensus element
chr2	7434539	7434634	-	DDB_G0294919	tRNA-Ala-UGC-3	transfers an alanine residue to a growing polypeptide chain during protein synthesis%0A
chr2	7435671	7435744	+	DDB_G0294887	tRNA-Val-AAC-8	transfers a valine residue to a growing polypeptide chain during protein synthesis%0A
chr2	7435825	7437462	+	DDB_G0276981	DDB_G0276981_RTE	partial ORF2 of tRNA-specific non-long terminal repeat retrotransposon TRE3-D%3B refer to Genbank AF135841 for partial consensus element
chr2	7437663	7438262	+	DDB_G0276979	DDB_G0276979_RTE	partial ORF2 of tRNA-specific non-long terminal repeat retrotransposon TRE3-C
chr2	7439874	7447610	-	DDB_G0277071	dupA	contains both a kinase domain and a phosphatase domain%3B similar to MAP kinase phosphatase in plants and dual-specificty phosphatase 19 in mammals%3B regulates the MAP Kinase response to %3Ci%3ELegionella pneumophila%3C%2Fi%3E infection in %3Ci%3EDictyostelium%3C%2Fi%3E
chr2	7449284	7451310	+	DDB_G0276941	cotA	expressed in prespore cells
chr2	7451944	7453443	+	DDB_G0276835	glnA1	catalyzes the reaction ATP %2B L-glutamate %2B ammonia %3D ADP %2B phosphate %2B L-glutamine
chr2	7454063	7454281	+	DDB_G0276837	DDB_G0276837	NA
chr2	7454940	7455965	+	DDB_G0277073	DDB_G0277073_ps	putative pseudogene%3B similar to D. discoideum genes %3Ca href%3D%22%2Fgene%2FDDB_G0272881%22%3EDDB_G0272881%3C%2Fa%3E and %3Ca href%3D%22%2Fgene%2FDDB_G0272939%22%3EDDB_G0272939%3C%2Fa%3E
chr2	7457975	7462453	+	DDB_G0277075	detA	similar to human DET1%3B localizes to the nucleus but excluded from the heterochromatin%3B interacts with RepE and is involved in cell type specification during development
chr2	7462954	7464117	+	DDB_G0276839	DDB_G0276839	NA
chr2	7464543	7465730	+	DDB_G0276841	DDB_G0276841	contains no functional domains
chr2	7466122	7468513	+	DDB_G0277077	DDB_G0277077	contains a UvrB%2FUvrC domain%3B however%2C does not share similarity with UvrB or UvrC
chr2	7468613	7470085	-	DDB_G0276843	DDB_G0276843	NA
chr2	7470616	7471251	+	DDB_G0276845	DDB_G0276845	NA
chr2	7471494	7471943	-	DDB_G0277079	cyb5B	cytochrome b5 is a membrane bound hemoprotein that functions as an electron carrier for several membrane bound oxygenases%3B contains a single C-terminal transmembrane domain
chr2	7472098	7473446	-	DDB_G0277081	DDB_G0277081	NA
chr2	7473728	7473801	+	DDB_G0294889	tRNA-Arg-ACG-4	transfers an arginine residue to a growing polypeptide chain during protein synthesis%0A
chr2	7474022	7475806	-	DDB_G0277083	uduD1	upregulated in the uninfected %3Ca href%3D%22%2Fgene%2FDDB_G0277071%22%3E%3Ci%3EdupA%3C%2Fi%3E%3C%2Fa%3E mutant%3B almost identical to %3Ca href%3D%22%2Fgene%2FDDB_G0283125%22%3E%3Ci%3EuduD2%3C%2Fi%3E%3C%2Fa%3E
chr2	7477013	7478717	-	DDB_G0276969	DDB_G0276969	highly similar to %3Ca href%3D%22%2Fdb%2Fcgi-bin%2Fgene_page.pl?primary_id%3DDDB_G0283085%22%3E%3Ci%3ED2%3C%2Fi%3E%3C%2Fa%3E%3B contains a predicted signal peptide
chr2	7479610	7481655	-	DDB_G0276847	DDB_G0276847	NA
chr2	7482048	7484657	-	DDB_G0276851	uduH	upregulated in the uninfected %3Ca href%3D%22%2Fgene%2FDDB_G0277071%22%3E%3Ci%3EdupA%3C%2Fi%3E%3C%2Fa%3E mutant%3B contains one C-terminal predicted transmembrane domain
chr2	7485197	7486825	-	DDB_G0277087	purH	bifunctional enzyme that catalyzes the reactions N%3Csup%3E10%3C%2Fsup%3E-formyl-H%3Csub%3E4%3C%2Fsub%3EF %2B AICAR %3C%3D%3E tetrahydrofolate %2B phosphoribosyl-formamido-carboxamide and phosphoribosyl-formamido-carboxamide %3C%3D%3E IMP %2B H%3Csub%3E2%3C%2Fsub%3EO%3B expressed in prespore cells
chr2	7487396	7488451	-	DDB_G0277089	commd4	belongs to a family of conserved mammalian HCaRG (hypertension-related%2C calcium-regulated gene) proteins
chr2	7488908	7489690	+	DDB_G0276853	DDB_G0276853	NA
chr2	7489987	7492179	+	DDB_G0276855	DDB_G0276855	NA
chr2	7492421	7493909	-	DDB_G0276857	DDB_G0276857	NA
chr2	7494067	7495015	+	DDB_G0277091	DDB_G0277091	NA
chr2	7495473	7496419	+	DDB_G0277093	DDB_G0277093	NA
chr2	7496528	7497987	-	DDB_G0277095	DDB_G0277095	NA
chr2	7498825	7500472	-	DDB_G0277097	uduF	upregulated in the uninfected %3Ca href%3D%22%2Fgene%2FDDB_G0277071%22%3E%3Ci%3EdupA%3C%2Fi%3E%3C%2Fa%3E mutant
chr2	7500743	7502145	-	DDB_G0276859	DDB_G0276859	NA
chr2	7502309	7503004	-	DDB_G0277099	uduE	upregulated in the uninfected %3Ca href%3D%22%2Fgene%2FDDB_G0277071%22%3E%3Ci%3EdupA%3C%2Fi%3E%3C%2Fa%3E mutant
chr2	7503468	7504825	-	DDB_G0276861	DDB_G0276861	conserved protein of unknown function%3B localizes to adherens junctions in zebrafish
chr2	7505297	7507884	-	DDB_G0276977	rad21	ortholog of RAD21%2FSCC1%2C component of the cohesin complex%2C involved in chromosome cohesion during cell cycle%2C in DNA repair%2C and in apoptosis %3Cbr%2F%3E%3Cbr%2F%3E %3Cb%3ECommunity annotation:%3C%2Fb%3E  The role of rad21 in Dictyostelium cell cycle control is supported by its  13-fold overexpression in a Dicty strain lacking the Dicty retinoblastoma-like protein%2C %3Ca href%3D%22%2Fdb%2Fcgi-bin%2FdictyBase%2Fphenotype%2Fstrain_and_phenotype_details.pl?genotype_id%3D1472%22%3ErblA-%3C%2Fa%3E (Doquang et al%2C in preparation). Most genes involved in DNA synthesis and mitosis are overexpressed in this strain.  %3Cbr%2F%3E %3Ci%3EHarry MacWilliams%2C April 2009 %3C%2Fi%3E 
chr2	7509311	7510238	-	DDB_G0277101	rab11C	similar to H. sapiens rab11A
chr2	7511199	7514640	+	DDB_G0277103	DDB_G0277103	NA
chr2	7515236	7515562	+	DDB_G0276863	H4b	one of two identical H4 proteins (other is %3Ca href%3D%22%2Fdb%2Fcgi-bin%2Fgene_page.pl?primary_id%3DDDB_G0277183%22%3E%3Ci%3EH4a%3C%2Fi%3E%3C%2Fa%3E)%3B component of the H2A-H2B-H3-H4 histone octamer%3B dimerizes with histone H3
chr2	7516807	7518631	+	DDB_G0276943	crtp1	similar to Plasmodium falciparum CRT%2C which confers resistance to chloroquine%3B localizes to intracellular vesicle membranes%3B contains 10 predicted transmembrane domains
chr2	7521491	7522825	-	DDB_G0276975	DDB_G0276975_RTE	ORF1 of tRNA-specific non-long terminal repeat retrotransposon TRE5-A%3B formerly known as DRE
chr2	7524451	7524521	+	DDB_G0294891	tRNA-Pro-UGG-8	transfers a proline residue to a growing polypeptide chain during protein synthesis%0A
chr2	7525349	7527903	-	DDB_G0276865	clcB	CLC chloride channels are conserved from prokaryotes to mammals where they play broad physiological roles%3B they assemble to form homo-dimers
chr2	7528689	7531283	+	DDB_G0277105	DDB_G0277105	NA
chr2	7532126	7532798	+	DDB_G0276867	DDB_G0276867	weakly similar to PCNA%3B contains one putative transmembrane domain at the C terminus
chr2	7532909	7534786	-	DDB_G0276945	apm4	NA
chr2	7535075	7535626	+	DDB_G0277107	lsm3	member of heteromeric complexes involved in mRNA splicing (lsm2-8) and mRNA degradation (lsm1-7)
chr2	7537012	7538754	+	DDB_G0276869	psvA	NA
chr2	7539245	7539311	-	DDB_G0295525	sno11b	similar to sno11a%3B C%2FD box snoRNAs are involved in rRNA processing and methylation
chr2	7539525	7539591	-	DDB_G0295527	sno11a	expressed non-coding RNA%3B C%2FD box snoRNAs are involved in rRNA processing and methylation
chr2	7540396	7541303	+	DDB_G0276871	rpl10a	protein component of the large (60S) ribosomal subunit
chr2	7541980	7544115	+	DDB_G0276947	trap1	similar to metazoan TRAP1%3B member of the HSP90 family%3B translocates to mitochondria during the prestarvation response
chr2	7544433	7547025	-	DDB_G0276873	DDB_G0276873	NA
chr2	7547283	7552137	-	DDB_G0277109	DDB_G0277109	NA
chr2	7555133	7557414	+	DDB_G0277111	DDB_G0277111	NA
chr2	7557711	7558988	-	DDB_G0277113	pex16	ortholog of peroxin 16%3B involved in import of proteins into peroxisomes%3B mutations in human homolog cause peroxisomal disorders
chr2	7559689	7562546	+	DDB_G0276877	mybK	contains one Myb DNA-binding domain and one domain present in the SSXT protein family
chr2	7564058	7565770	+	DDB_G0276973	nramp1	ortholog of the mammalian SLC11a1%3B transports iron across the phagolysosomal membrane%3B contains 12 transmembrane domains
chr2	7566354	7567330	+	DDB_G0276879	DDB_G0276879	NA
